"ma cua hang","doanh thu du doan","ten cua hang","doanh thu thuc te",ty le chinh xac"
"99","213 Nguyễn Duy Trinh","271187584","527309792","51.428514719"
"100","27 Phạm Văn Chiêu","783893440","945513280","82.9066574574"
"101","Petrolimex 160 Xô Viết Nghệ Tĩnh","400672608","501140960","79.9520790577"
"102","Petrolimex 410 Nguyễn Đình Chiểu","460894816","604239680","76.2768208981"
"103","Galaxy 9 Nguyễn Khoái","937804544","793684864","84.6322238445"
"104","167 Nguyễn Biểu","486803872","644809728","75.4957377911"
"105","534 Nguyễn Văn Công","221877696","450592288","49.2413431406"
"106","53 Nguyễn Du","571334976","874262848","65.3504788876"
"107","40 Hoàng Quốc Việt","703757056","706361088","99.6313452721"
"108","529 Lê Đức Thọ","401543168","509771584","78.7692308426"
"109","610 Nguyễn Duy Trinh","325123360","519167808","62.6239418983"
"110","148 Hoàng Hoa Thám-Vũng Tàu","637101056","676613760","94.1602289677"
"111","15 Mạc Thiên Tích","750531264","931912448","80.5366694927"
"112","247 Thống Nhất","498191616","560651776","88.8593673706"
"113","Ung Văn Khiêm","274747296","370923232","74.0712046623"
"114","170A Triệu Quang Phục","563185856","897653504","62.7397835255"
"115","9 Phan Văn Trị-Vũng Tàu","508910048","316327488","62.1578395367"
"116","33A Nguyễn Bỉnh Khiêm","738825792","1060435136","69.671946764"
"117","162 An Dương Vương","638633728","853824448","74.7968435287"
"118","75 Ngô Tất Tố","368325504","578822976","63.633531332"
"119","416 Phan Huy Ích","389586752","544272704","71.5793311596"
"120","Sunrise City-Tháp Bắc","1003679808","1216102656","82.5324892998"
"121","201 An Dương Vương","311230560","503879552","61.7668569088"
"122","Belleza","564271616","488492576","86.5704655647"
"123","14 Nguyễn Văn Bảo","429102592","569572160","75.3377020359"
"124","201 Nguyễn Xí","638227840","975854720","65.4019296169"
"125","119 An Bình","823297664","815571584","99.0615665913"
"126","171 Nam Kỳ Khởi Nghĩa-Vũng Tàu","461667392","383720736","83.1162750721"
"127","44 Huỳnh Văn Bánh","471601952","622419392","75.769162178"
"128","15 Hoàng Minh Giám","500712352","466726848","93.2125687599"
"129","Lexington","844281792","882612352","95.657145977"
"130","Sài Gòn Pearl","1053315072","1268533120","83.0340981483"
"131","Sala","776551872","886836800","87.5642359257"
"132","14 Phó Đức Chính-VT","783598016","528537408","67.4500703812"
"133","2D Lê Lai-Vũng Tàu","823214272","535369920","65.0340914726"
"134","Chung cư Bộ Công An","662343552","618327744","93.3545351028"
"135","Thái Văn Lung","1632554752","1787517312","91.3308501244"
"136","750 Hương Lộ 2","339851584","528967680","64.2480790615"
"137","Sunrise City-Tháp Trung Tâm","909459008","834162688","91.7207598686"
"138","198 Xóm Chiếu","291631168","465739616","62.6167833805"
"139","198 Phan Huy Ích","357957024","689698944","51.9004762173"
"140","145 Nguyễn Đình Chiểu","653209344","809983232","80.6447982788"
"141","48 Đồ Chiểu-VT","336653856","386663360","87.0663940907"
"142","Nguyễn Trung Ngạn","432256672","484028032","89.3040597439"
"143","55 Hòa Bình","184738704","296996320","62.2023522854"
"144","74 Cửu Long","318895936","370429920","86.0880613327"
"145","662 Lạc Long Quân","270495840","415821888","65.0508880615"
"146","213 Nguyễn Văn Cừ","758728320","737091008","97.1482157707"
"147","148 D2","598626304","568983936","95.0482666492"
"148","57 Phạm Ngọc Thạch","573529664","704978048","81.3542604446"
